date,time,pH,Temperature,Taste,Odor,Fat,Turbidity,Colour,Grade
15-Apr-2024,22:18:54,4,35,1,0,1,0,255,low
15-Apr-2024,22:26:27,4,56,1,0,1,0,255,low
16-Apr-2024,16:54:58,5,35,0,1,0,1,252,low
16-Apr-2024,16:55:03,5,35,0,0,0,1,252,medium
16-Apr-2024,16:55:09,5,35,0,0,0,1,255,medium
16-Apr-2024,16:55:13,5,35,1,0,0,1,255,low
16-Apr-2024,16:55:17,5,35,1,1,0,1,255,low
16-Apr-2024,16:55:23,5,35,1,1,1,1,255,low
16-Apr-2024,16:55:42,6,34,1,1,1,0,255,medium
16-Apr-2024,16:55:48,6,34,1,1,1,1,255,low
16-Apr-2024,16:55:52,6,34,1,1,1,1,240,low
16-Apr-2024,16:55:55,6,34,1,1,1,1,240,low
16-Apr-2024,16:55:58,6,34,1,1,1,0,240,medium
16-Apr-2024,16:56:02,6,34,1,1,0,0,240,medium
16-Apr-2024,16:56:04,6,34,1,0,0,0,240,medium
16-Apr-2024,16:56:08,6,34,0,0,0,0,240,medium
16-Apr-2024,16:57:14,6.6,37,1,1,1,1,245,high
15-Apr-2024,16:55:09,5,35,0,0,0,1,255,medium
10-Apr-2024,16:55:03,5,35,0,0,0,1,252,medium
15-Apr-2024,16:55:09,5,35,0,0,0,1,255,medium
17-Apr-2024,10:56:24,6,60,1,0,0,1,250,low
19-Apr-2024,00:58:07,6.6,35,1,1,0,0,250,medium
19-Apr-2024,01:12:23,6,35,0,1,1,1,246,low
19-Apr-2024,01:23:05,6,35,0,1,1,1,246,low
19-Apr-2024,01:26:34,6.6,35,1,1,1,1,244,high
19-Apr-2024,01:26:48,6.6,35,1,1,1,1,244,high
19-Apr-2024,01:26:55,6.6,35,1,1,1,1,244,high
19-Apr-2024,01:27:08,6.6,35,1,1,1,1,244,high
